order_id,customer_id,customer_name,product,category,region,order_date,quantity,unit_price,sale_amount,status
1001,C001,Acme Corp,Laptop Pro 15,Electronics,North,2024-01-05,2,1200.00,2400.00,completed
1002,C002,Beta Ltd,Office Chair,Furniture,South,2024-01-07,5,350.00,1750.00,completed
1003,C003,Gamma Inc,Wireless Mouse,Electronics,East,2024-01-10,10,45.00,450.00,completed
1004,C001,Acme Corp,Standing Desk,Furniture,North,2024-01-12,3,650.00,1950.00,completed
1005,C004,Delta LLC,Monitor 27in,Electronics,West,2024-01-15,4,420.00,1680.00,completed
1006,C005,Echo Partners,Keyboard Mech,Electronics,North,2024-01-18,8,120.00,960.00,completed
1007,C002,Beta Ltd,Bookshelf,Furniture,South,2024-01-20,2,280.00,560.00,completed
1008,C006,Foxtrot Co,Headphones,Electronics,East,2024-01-22,6,180.00,1080.00,completed
1009,C003,Gamma Inc,Webcam HD,Electronics,East,2024-01-25,12,85.00,1020.00,completed
1010,C007,Golf Corp,Conference Table,Furniture,West,2024-01-28,1,1800.00,1800.00,completed
1011,C001,Acme Corp,Tablet 10in,Electronics,North,2024-02-02,3,380.00,1140.00,completed
1012,C008,Hotel Inc,Desk Lamp,Office,South,2024-02-05,20,55.00,1100.00,completed
1013,C004,Delta LLC,SSD 1TB,Electronics,West,2024-02-08,15,90.00,1350.00,completed
1014,C009,India Ltd,Filing Cabinet,Furniture,North,2024-02-11,4,220.00,880.00,completed
1015,C005,Echo Partners,Docking Station,Electronics,North,2024-02-14,6,250.00,1500.00,completed
1016,C010,Juliet Corp,Whiteboard,Office,East,2024-02-17,3,140.00,420.00,completed
1017,C006,Foxtrot Co,Speaker BT,Electronics,East,2024-02-20,10,130.00,1300.00,completed
1018,C002,Beta Ltd,Ergonomic Chair,Furniture,South,2024-02-22,7,480.00,3360.00,completed
1019,C007,Golf Corp,Projector,Electronics,West,2024-02-25,2,950.00,1900.00,completed
1020,C003,Gamma Inc,Laptop Stand,Accessories,East,2024-02-28,14,75.00,1050.00,completed
1021,C001,Acme Corp,Monitor 32in,Electronics,North,2024-03-03,2,680.00,1360.00,completed
1022,C011,Kilo LLC,Office Supplies Kit,Office,South,2024-03-06,25,40.00,1000.00,completed
1023,C008,Hotel Inc,USB Hub,Electronics,South,2024-03-09,30,35.00,1050.00,completed
1024,C004,Delta LLC,Gaming Chair,Furniture,West,2024-03-12,3,520.00,1560.00,completed
1025,C012,Lima Co,Printer Laser,Office,North,2024-03-15,2,420.00,840.00,completed
1026,C009,India Ltd,Mouse Pad XL,Accessories,North,2024-03-18,40,22.00,880.00,completed
1027,C005,Echo Partners,Smart TV 55in,Electronics,North,2024-03-21,1,1100.00,1100.00,completed
1028,C010,Juliet Corp,Sofa 3-seater,Furniture,East,2024-03-24,2,1400.00,2800.00,completed
1029,C006,Foxtrot Co,Webcam 4K,Electronics,East,2024-03-27,5,160.00,800.00,completed
1030,C013,Mike Ltd,External HDD,Electronics,West,2024-03-30,8,95.00,760.00,completed
1031,C001,Acme Corp,Keyboard Wireless,Electronics,North,2024-04-02,10,85.00,850.00,completed
1032,C002,Beta Ltd,Meeting Room Table,Furniture,South,2024-04-05,1,2200.00,2200.00,completed
1033,C014,November Inc,Power Strip,Office,East,2024-04-08,20,30.00,600.00,completed
1034,C007,Golf Corp,HDMI Cable,Accessories,West,2024-04-11,50,15.00,750.00,completed
1035,C003,Gamma Inc,Laptop Pro 13,Electronics,East,2024-04-14,2,1350.00,2700.00,completed
1036,C015,Oscar Corp,Desk Organizer,Accessories,South,2024-04-17,15,45.00,675.00,completed
1037,C008,Hotel Inc,Scanner A4,Office,South,2024-04-20,3,280.00,840.00,completed
1038,C004,Delta LLC,Router WiFi6,Electronics,West,2024-04-23,6,180.00,1080.00,completed
1039,C011,Kilo LLC,Monitor Stand,Accessories,South,2024-04-26,8,65.00,520.00,completed
1040,C009,India Ltd,Phone Stand,Accessories,North,2024-04-29,25,18.00,450.00,completed
1041,C005,Echo Partners,NAS Storage,Electronics,North,2024-05-02,2,650.00,1300.00,completed
1042,C012,Lima Co,Chair Mat,Accessories,North,2024-05-05,10,55.00,550.00,completed
1043,C010,Juliet Corp,Tablet Stand,Accessories,East,2024-05-08,12,35.00,420.00,completed
1044,C013,Mike Ltd,Laptop Pro 15,Electronics,West,2024-05-11,1,1200.00,1200.00,completed
1045,C006,Foxtrot Co,Smart Speaker,Electronics,East,2024-05-14,5,95.00,475.00,completed
1046,C014,November Inc,Bookcase,Furniture,East,2024-05-17,3,380.00,1140.00,completed
1047,C001,Acme Corp,Server Rack,Electronics,North,2024-05-20,1,3500.00,3500.00,completed
1048,C015,Oscar Corp,Office Desk,Furniture,South,2024-05-23,4,580.00,2320.00,completed
1049,C002,Beta Ltd,Cable Management,Accessories,South,2024-05-26,30,20.00,600.00,completed
1050,C007,Golf Corp,Conference Cam,Electronics,West,2024-05-29,2,450.00,900.00,completed
1051,C003,Gamma Inc,Portable SSD,Electronics,East,2024-06-01,10,120.00,1200.00,completed
1052,C008,Hotel Inc,Office Chair,Furniture,South,2024-06-04,6,350.00,2100.00,completed
1053,C004,Delta LLC,Drawing Tablet,Electronics,West,2024-06-07,3,280.00,840.00,completed
1054,C011,Kilo LLC,Laptop Stand,Accessories,South,2024-06-10,20,75.00,1500.00,completed
1055,C009,India Ltd,Monitor 24in,Electronics,North,2024-06-13,3,320.00,960.00,completed
1056,C012,Lima Co,Whiteboard Markers,Office,North,2024-06-16,50,8.00,400.00,completed
1057,C005,Echo Partners,Laptop Pro 15,Electronics,North,2024-06-19,2,1200.00,2400.00,completed
1058,C010,Juliet Corp,Reception Desk,Furniture,East,2024-06-22,1,1650.00,1650.00,completed
1059,C013,Mike Ltd,USB-C Hub,Electronics,West,2024-06-25,15,55.00,825.00,completed
1060,C014,November Inc,Ceiling Light,Office,East,2024-06-28,8,90.00,720.00,completed
